_seed,sample_counts,extend_try,constraint_project_success,constraint_project_success_rate,ik_success,ik_success_rate,extend_success,extend_success_rate,average_success_constraint_project_compute_times,average_ik_compute_times,average_success_ik_compute_times,total_sample_time,total_extend_time,total_project_time,total_ik_time,average_sample_time,average_extend_time,average_extend_project_time,average_extend_ik_time,average_extend_one_project_time,average_extend_one_ik_time,
1830261993,724,3676,3646,0.991839,2983,0.81148,2229,0.606366,2.39605,2.58732,2.71237,2.99931,2.2076,0.695574,1.26228,0.0041427,0.000600543,0.00018922,0.000343385,7.93491e-05,0.000132718,
240582777,356,2856,2843,0.995448,2574,0.901261,2145,0.75105,2.79775,2.2514,2.26962,1.95604,1.66308,0.654847,0.799095,0.00549449,0.00058231,0.000229288,0.000279795,8.21228e-05,0.000124276,
667239394,2857,17748,17632,0.993464,14116,0.795357,12037,0.678217,2.4814,2.5675,2.70473,25.0332,10.5788,3.47009,5.8981,0.00876207,0.000596058,0.00019552,0.000332325,7.90238e-05,0.000129435,
1975233749,2179,14749,14700,0.996678,11923,0.808394,10391,0.704522,2.2981,2.6456,2.77967,18.57,8.6757,2.59413,5.04057,0.00852227,0.000588223,0.000175885,0.000341757,7.66746e-05,0.000129179,
1990884877,1046,5883,5839,0.992521,4627,0.786503,3791,0.644399,2.43672,2.58202,2.73222,5.28807,3.47649,1.12434,1.97819,0.00505551,0.000590938,0.000191116,0.000336256,7.87241e-05,0.00013023,
813256466,1813,8906,8851,0.993824,7231,0.811925,5281,0.592971,2.4674,2.52111,2.63034,9.00405,5.19417,1.72749,2.90253,0.00496638,0.000583222,0.000193969,0.000325907,7.88988e-05,0.000129271,
1361901116,2324,12102,12061,0.996612,8783,0.725748,7454,0.615931,2.38753,2.52925,2.70762,14.8404,6.99954,2.23759,4.02724,0.0063857,0.000578378,0.000184894,0.000332775,7.75675e-05,0.000131571,
1055588234,2062,8585,8563,0.997437,6883,0.801747,4461,0.519627,2.35875,2.72533,2.84048,8.97049,5.13195,1.57555,3.05023,0.00435039,0.000597781,0.000183523,0.000355298,7.79163e-05,0.000130369,
1502915950,5000,25758,25645,0.995613,18819,0.730608,15764,0.612004,2.45026,2.52496,2.70163,47.4784,15.3007,5.02259,8.66236,0.00949568,0.000594019,0.000194991,0.000336298,7.9773e-05,0.000133189,
560994403,5000,23742,23592,0.993682,18789,0.791382,13745,0.578932,2.48894,2.52283,2.65065,44.2572,14.1386,4.75152,7.87625,0.00885144,0.000595509,0.000200131,0.000331743,8.05902e-05,0.000131497,
