planning_time,_seed,sample_counts,extend_try,constraint_project_success,constraint_project_success_rate,ik_success,ik_success_rate,extend_success,extend_success_rate,average_success_constraint_project_compute_times,average_ik_compute_times,average_success_ik_compute_times,total_sample_time,total_extend_time,total_project_time,total_ik_time,average_sample_time,average_extend_time,average_extend_project_time,average_extend_ik_time,average_extend_one_project_time,average_extend_one_ik_time,
6.43377,76237347,5000,10435,5496,0.526689,467,0.0447532,463,0.0443699,3.64192,0.217537,2.53961,6.42551,4.60486,3.7312,0.432756,0.0012851,0.00044129,0.000357566,4.14716e-05,0.000136654,0.000190641,
5.34044,1114902913,4960,10382,4535,0.436814,644,0.0620304,501,0.0482566,3.69085,0.232807,2.60248,5.32321,3.86041,3.23658,0.358332,0.00107323,0.000371837,0.000311749,3.45148e-05,0.000120386,0.000148255,
1.09501,1540835426,1077,2422,1002,0.413708,280,0.115607,279,0.115194,3.82236,0.42114,2.56786,1.08701,0.864352,0.646458,0.141162,0.00100929,0.000356875,0.000266911,5.82833e-05,0.000115625,0.000138394,
0.491187,394387311,430,998,574,0.57515,144,0.144289,142,0.142285,3.79443,0.504008,2.61806,0.479553,0.40891,0.297587,0.0699185,0.00111524,0.000409729,0.000298184,7.00586e-05,0.000110668,0.000139003,
3.21625,107392948,3518,7477,2156,0.288351,491,0.065668,488,0.0652668,3.62894,0.23472,2.53768,3.19936,2.17734,1.75981,0.246355,0.000909426,0.000291205,0.000235363,3.29484e-05,0.00011965,0.000140373,
0.351704,337472223,304,716,444,0.620112,111,0.155028,111,0.155028,3.77252,0.481844,2.57658,0.34151,0.296823,0.22209,0.0457206,0.00112339,0.000414557,0.000310181,6.38556e-05,0.000110328,0.000132523,
4.60177,494136712,5000,10388,4128,0.397382,427,0.0411051,426,0.0410089,3.50484,0.265691,2.55035,4.59551,3.2908,2.61914,0.432713,0.000919103,0.000316788,0.000252131,4.16551e-05,0.000115753,0.00015678,
2.407,1225159536,2535,5368,2640,0.491803,319,0.0594262,312,0.0581222,3.89242,0.259873,2.57053,2.39568,1.84102,1.49315,0.203392,0.00094504,0.000342961,0.000278158,3.78896e-05,0.000112411,0.0001458,
0.28336,1631784951,161,462,330,0.714286,143,0.309524,143,0.309524,3.83636,0.865801,2.52448,0.277691,0.25233,0.166728,0.0530701,0.00172479,0.000546168,0.000360883,0.00011487,0.000113036,0.000132675,
5.24999,631151439,5000,10429,4665,0.44731,628,0.0602167,462,0.0442995,3.81651,0.247867,2.57962,5.24313,3.6432,2.92999,0.403981,0.00104863,0.000349333,0.000280946,3.87363e-05,0.000120551,0.000156279,
